State: [256, 5, 0], Action: 1, Reward: -0.15737565403125, Next State: [240, 5, 11], Done: False
State: [240, 5, 11], Action: 2, Reward: -0.188736300765625, Next State: [240, 10, 16], Done: False
State: [240, 10, 16], Action: 2, Reward: -0.1856447841484375, Next State: [240, 15, 14], Done: False
State: [240, 15, 14], Action: 2, Reward: -0.1856447841484375, Next State: [240, 15, 14], Done: False
State: [240, 15, 14], Action: 2, Reward: -0.1810859429140625, Next State: [240, 15, 11], Done: False
State: [240, 15, 11], Action: 2, Reward: -0.1800602690703125, Next State: [240, 15, 11], Done: False
State: [240, 15, 11], Action: 3, Reward: -0.187491989453125, Next State: [240, 10, 15], Done: False
State: [240, 10, 15], Action: 2, Reward: -0.185284282375, Next State: [240, 15, 14], Done: False
State: [240, 15, 14], Action: 2, Reward: -0.18113841434375, Next State: [240, 15, 11], Done: False
State: [240, 15, 11], Action: 2, Reward: -0.18113841434375, Next State: [240, 15, 11], Done: True
State: [256, 5, 0], Action: 2, Reward: -0.16198268735, Next State: [256, 10, 11], Done: False
State: [256, 10, 11], Action: 2, Reward: -0.16227853817500001, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.16227853817500001, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.16227853817500001, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.158017420575, Next State: [256, 15, 8], Done: False
State: [256, 15, 8], Action: 2, Reward: -0.157460059125, Next State: [256, 15, 8], Done: False
State: [256, 15, 8], Action: 0, Reward: -0.162342149853125, Next State: [272, 15, 10], Done: False
State: [272, 15, 10], Action: 2, Reward: -0.162342149853125, Next State: [272, 15, 10], Done: False
State: [272, 15, 10], Action: 2, Reward: -0.1580763255828125, Next State: [272, 15, 8], Done: False
State: [272, 15, 8], Action: 2, Reward: -0.1580763255828125, Next State: [272, 15, 8], Done: True
State: [256, 5, 0], Action: 2, Reward: -0.197908778475, Next State: [256, 10, 15], Done: False
State: [256, 10, 15], Action: 2, Reward: -0.19822467497500001, Next State: [256, 15, 15], Done: False
State: [256, 15, 15], Action: 2, Reward: -0.19822467497500001, Next State: [256, 15, 15], Done: False
State: [256, 15, 15], Action: 2, Reward: -0.193052174575, Next State: [256, 15, 12], Done: False
State: [256, 15, 12], Action: 2, Reward: -0.19253197945, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.19287554815, Next State: [256, 15, 12], Done: False
State: [256, 15, 12], Action: 2, Reward: -0.19371991755, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.19371991755, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.19344790482500002, Next State: [256, 15, 11], Done: False
State: [256, 15, 11], Action: 2, Reward: -0.1928614959, Next State: [256, 15, 11], Done: True
